scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	line_count	player_screen_rect	walking_path_screen_rect	player_occlusion_ratio	walking_path_occlusion_ratio	failures	hierarchy	text
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.7	46.2	769.8	671.3	1150.1	717.5	14.5	ui-image:상태 HUD	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe None   Rope None
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	21.5	951.8	52.2	1130.4	73.6	8.2	ui-image:언어 설정	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	47.6	169.0	39.2	815.4	86.8	18.1	ui-image:조작 안내	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Stick move · Auto-swim · A jump · X search · B return/Replace: D-pad+A (4 slots) · B discard · Y language
en day1 swimming	playmode-en-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	858.2	614.6	863.9	636.9	1.4	screenshot-border-median	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	26.2	26.7	633.2	315.8	771.2	342.5	17.4	world-badge:자원 안내	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Food/자원 안내/안내 문구	Food ×1
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	20.1	34.1	170.9	308.8	364.7	342.8	17.4	world-badge:자원 안내	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Salvage/자원 안내/안내 문구	Salvage ×1
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	26.2	26.7	698.1	433.1	854.3	459.8	17.4	world-badge:자원 안내	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	45.3	998.7	293.2	1083.6	338.5	6.6	ui-image:가방 0	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Wood ×1
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	1122.4	293.2	1234.2	338.7	2.4	ui-image:가방 1	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	996.9	219.4	1084.6	264.9	3.8	ui-image:가방 2	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0381	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Stone ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	1122.0	219.4	1234.2	264.9	2.4	ui-image:가방 3	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0488	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Salvage ×1
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	18.1	989.6	159.0	1091.1	177.1	17.7	ui-image:가방 4	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	18.1	1127.2	159.0	1228.9	177.2	17.7	ui-image:가방 5	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.5	50.3	997.5	483.8	1223.3	534.1	14.0	ui-image:가방 · icon.resource-tool-set	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	46.2	130.7	731.0	497.7	777.2	18.1	ui-image:상태 HUD	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · Island expedition/Hunger 70 | Energy 73 | Daylight 100
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	46.2	769.8	671.3	1150.1	717.5	14.5	ui-image:상태 HUD	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe None   Rope None
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	21.5	951.8	52.2	1130.4	73.6	8.2	ui-image:언어 설정	0			1	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	47.6	169.0	39.2	815.4	86.8	18.1	ui-image:조작 안내	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Stick move · Auto-swim · A jump · X search · B return/Replace: D-pad+A (4 slots) · B discard · Y language
en day2 exploration	playmode-en-day2-exploration-1280x800.png	world-info	PASS	20.1	67.8	414.1	483.8	781.2	551.5	18.4	world-badge:숲길 장벽 안내	0			2	x=-280.9,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/숲길 장벽 안내/안내 문구	Stone Axe Required/Vine & Wood Barrier
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	94.6	330.1	153.7	467.5	248.4	11.1	world-badge:world.entrance 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0856	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	23.0	59.0	492.8	146.7	631.0	205.7	8.8	world-badge:world.required_path 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0298	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	23.0	65.1	853.9	216.2	1150.2	281.4	10.9	world-badge:구조 신호대 전용 앵커 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.1378	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	59.4	146.8	407.2	424.8	466.5	10.7	world-badge:배치 판정	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Invalid Placement
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	64.8	289.7	272.4	449.6	337.2	12.6	world-badge:증축 계획 지점 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/현장형 창고·증축 계획 지점 placeholder/증축 계획 지점 안내/안내 문구	Facilities · Expansion
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	100.8	770.2	329.3	1029.0	430.1	11.9	world-badge:호환 건설 구역 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facility Ground/0.5m Floor Snap
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	46.2	130.7	731.0	422.2	777.2	18.1	ui-image:상태 HUD	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · Camp preparation/Hunger 70 | Energy 100
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	46.2	734.0	671.3	1150.1	717.5	14.5	ui-image:상태 HUD	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	21.5	936.6	52.2	1115.1	73.6	8.2	ui-image:언어 설정	0			1	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	73.4	324.3	26.3	631.0	99.7	18.1	ui-image:조작 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Move with left stick/A confirm · B cancel/Y language
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	94.6	330.1	153.7	467.5	248.4	11.1	world-badge:world.entrance 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0856	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	23.0	59.0	492.8	146.7	631.0	205.7	8.8	world-badge:world.required_path 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0298	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	23.0	65.1	853.9	216.2	1150.2	281.4	10.9	world-badge:구조 신호대 전용 앵커 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.1378	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	22.7	59.4	406.6	407.2	660.0	466.5	8.8	world-badge:배치 판정	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Valid Placement
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	64.8	289.7	272.4	449.6	337.2	12.6	world-badge:증축 계획 지점 안내	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/현장형 창고·증축 계획 지점 placeholder/증축 계획 지점 안내/안내 문구	Facilities · Expansion
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	100.8	770.2	329.3	1029.0	430.1	11.9	world-badge:호환 건설 구역 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facility Ground/0.5m Floor Snap
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	46.2	130.7	731.0	422.2	777.2	18.1	ui-image:상태 HUD	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · Camp preparation/Hunger 70 | Energy 100
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	46.2	734.0	671.3	1150.1	717.5	14.5	ui-image:상태 HUD	0			2	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	21.5	936.6	52.2	1115.1	73.6	8.2	ui-image:언어 설정	0			1	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	73.4	324.3	26.3	631.0	99.7	18.1	ui-image:조작 안내	0			3	x=487.1,y=224.0,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Move with left stick/A confirm · B cancel/Y language
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	23.3	55.9	564.3	450.0	699.7	505.9	14.9	world-badge:자원 안내	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	헤엄쳐 수색/식량 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	22.9	55.9	393.7	332.7	529.0	388.6	14.9	world-badge:자원 안내	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	헤엄쳐 수색/표류물 ×1
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.2	23.2	986.5	303.0	1092.7	326.1	6.6	ui-image:가방 0	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. 나무 ×1
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1142.2	303.7	1214.7	326.1	12.1	ui-image:가방 1	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1004.7	229.9	1077.0	252.4	12.1	ui-image:가방 2	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0155	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1141.0	229.9	1214.7	252.4	12.1	ui-image:가방 3	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0158	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.5	22.5	1005.0	156.0	1074.7	178.6	17.7	ui-image:가방 4	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. 잠김
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.5	22.5	1142.2	156.0	1212.4	178.6	17.7	ui-image:가방 5	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. 잠김
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.8	54.9	1020.1	482.4	1197.4	537.4	14.0	ui-image:가방 · icon.resource-tool-set	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	수색 가방 4/6/한 묶음 최대 2개
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	19.5	53.8	130.5	726.5	416.4	780.4	18.1	ui-image:상태 HUD	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · 얕은 연안 수영/허기 70 | 체력 94 | 일광 100
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	21.1	51.1	799.9	669.6	1150.1	720.6	14.5	ui-image:상태 HUD	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 2   돌 1   식량 0   표류물 0/신호대 0/2   도끼 없음   밧줄 없음
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	17.7	25.3	953.1	49.7	1127.1	75.0	8.2	ui-image:언어 설정	0			1	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	21.1	53.4	171.6	36.5	812.0	90.0	18.1	ui-image:조작 안내	0			2	x=785.8,y=238.2,w=85.4,h=152.6	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 스틱 이동 · 해안 자동 수영 · A 점프 · X 수색 · B 귀환/교체 창 방향키+A (4칸) · B 포기 · Y 언어
